"variable","group","level","n","denom_non_missing","pct"
"sex_fct","high","female",266,547,48.6288848263254
"sex_fct","high","male",281,547,51.3711151736746
"sex_fct","middle","female",2769,3904,70.9272540983606
"sex_fct","middle","male",1135,3904,29.0727459016393
"sex_fct","low","female",1832,2099,87.2796569795141
"sex_fct","low","male",267,2099,12.7203430204859
"phase_fct","high","1",0,547,0
"phase_fct","high","2",0,547,0
"phase_fct","high","3",547,547,100
"phase_fct","middle","1",0,3904,0
"phase_fct","middle","2",0,3904,0
"phase_fct","middle","3",3904,3904,100
"phase_fct","low","1",0,2099,0
"phase_fct","low","2",0,2099,0
"phase_fct","low","3",2099,2099,100
"edu_fct","high","college",27,547,4.93601462522852
"edu_fct","high","junior_college",65,547,11.8829981718464
"edu_fct","high","senior_middle",203,547,37.1115173674589
"edu_fct","high","junior_middle",177,547,32.3583180987203
"edu_fct","high","primary",73,547,13.345521023766
"edu_fct","high","lt_primary",2,547,0.36563071297989
"edu_fct","middle","college",116,3904,2.97131147540984
"edu_fct","middle","junior_college",278,3904,7.12090163934426
"edu_fct","middle","senior_middle",1226,3904,31.4036885245902
"edu_fct","middle","junior_middle",1212,3904,31.0450819672131
"edu_fct","middle","primary",979,3904,25.0768442622951
"edu_fct","middle","lt_primary",93,3904,2.38217213114754
"edu_fct","low","college",30,2099,1.4292520247737
"edu_fct","low","junior_college",66,2099,3.14435445450214
"edu_fct","low","senior_middle",318,2099,15.1500714626012
"edu_fct","low","junior_middle",488,2099,23.2491662696522
"edu_fct","low","primary",876,2099,41.7341591233921
"edu_fct","low","lt_primary",321,2099,15.2929966650786
"incomeh_fct","high","ge50000",161,547,29.4332723948812
"incomeh_fct","high","30000_band",179,547,32.7239488117002
"incomeh_fct","high","20000_band",90,547,16.4533820840951
"incomeh_fct","high","10000_band",54,547,9.87202925045704
"incomeh_fct","high","5000_band",11,547,2.0109689213894
"incomeh_fct","high","lt5000",3,547,0.548446069469835
"incomeh_fct","high","notknow",49,547,8.95795246800731
"incomeh_fct","middle","ge50000",932,3904,23.8729508196721
"incomeh_fct","middle","30000_band",1137,3904,29.1239754098361
"incomeh_fct","middle","20000_band",792,3904,20.2868852459016
"incomeh_fct","middle","10000_band",423,3904,10.8350409836066
"incomeh_fct","middle","5000_band",77,3904,1.97233606557377
"incomeh_fct","middle","lt5000",35,3904,0.896516393442623
"incomeh_fct","middle","notknow",508,3904,13.0122950819672
"incomeh_fct","low","ge50000",327,2097,15.5937052932761
"incomeh_fct","low","30000_band",439,2097,20.9346685741536
"incomeh_fct","low","20000_band",384,2097,18.3118741058655
"incomeh_fct","low","10000_band",362,2097,17.2627563185503
"incomeh_fct","low","5000_band",98,2097,4.67334287076776
"incomeh_fct","low","lt5000",72,2097,3.43347639484979
"incomeh_fct","low","notknow",415,2097,19.790176442537
"incomeh_fct","low",NA,2,2097,0.0953743443013829
"marital_fct","high","married",502,544,92.2794117647059
"marital_fct","high","separate",8,544,1.47058823529412
"marital_fct","high","widow",31,544,5.6985294117647
"marital_fct","high","never_married",3,544,0.551470588235294
"marital_fct","high",NA,3,544,0.551470588235294
"marital_fct","middle","married",3425,3867,88.5699508663046
"marital_fct","middle","separate",53,3867,1.37057150245668
"marital_fct","middle","widow",367,3867,9.49056115852082
"marital_fct","middle","never_married",22,3867,0.568916472717869
"marital_fct","middle",NA,37,3867,0.95681406775278
"marital_fct","low","married",1530,2068,73.9845261121857
"marital_fct","low","separate",31,2068,1.49903288201161
"marital_fct","low","widow",491,2068,23.742746615087
"marital_fct","low","never_married",16,2068,0.773694390715667
"marital_fct","low",NA,31,2068,1.49903288201161
"smk_fct","high","never",328,547,59.963436928702
"smk_fct","high","ex_occasional",60,547,10.9689213893967
"smk_fct","high","ex_daily",62,547,11.3345521023766
