"outcome","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent","cause_code","cause_level","n_valid_eventcoding","n_events_target"
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","ic5_per1lower",-0.154894630655804,0.206130114309757,-0.751441055444429,0.45238726242841,0.856505422143651,0.571836463854745,1.2828869520077,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","agec_5",0.373425493879939,0.238341014630262,1.56676975827779,0.11716851856421,1.45270232429751,0.91054285731524,2.31767678595799,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","sex_fctmale",3.06752750714608,1.0608173146703,2.89166425238776,0.00383207223877407,21.4887062655498,2.68683461105722,171.861898408918,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","phase_fct2",0,0,NA,NA,1,1,1,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","phase_fct3",0,0,NA,NA,1,1,1,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","edu_fctjunior_college",-20.5377494770726,21448.8430378302,-0.000957522484585735,0.999236007709672,1.2038398942828e-09,0,Inf,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","edu_fctsenior_middle",-19.8282911456404,8591.45466398056,-0.00230790848827615,0.998158557084182,2.44727385137342e-09,0,Inf,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","edu_fctjunior_middle",-0.839439002218107,0.671098920498574,-1.25084242661942,0.210991972438734,0.431952780021495,0.115930000213405,1.60944711312719,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","edu_fctprimary",-0.958985565401908,0.707600397395165,-1.35526431151275,0.175333361194342,0.383281502845882,0.0957651096974197,1.53401077791232,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","edu_fctlt_primary",-0.705633044561021,1.06139370001182,-0.664817441966313,0.506167265266887,0.49379588049564,0.0616719253660258,3.95373373130959,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","incomeh_fct30000_band",-0.562405674819739,1.06093752418844,-0.530102538554236,0.596040839107757,0.569836572133402,0.0712325777831086,4.55850018413549,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","incomeh_fct20000_band",0.551255471312721,0.801821835036407,0.687503691250428,0.491765375471079,1.73543043386467,0.360491663490877,8.35447555602054,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","incomeh_fct10000_band",-19.148110477272,13120.1479902745,-0.00145944317788685,0.998835533234376,4.8314921788572e-09,0,Inf,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","incomeh_fct5000_band",1.56866116674046,1.061211350735,1.47817978544425,0.139359663051902,4.80021719928173,0.599730518383527,38.4207314018073,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","incomeh_fctlt5000",-19.7749372600238,37011.9550098235,-0.000534285131784454,0.999573702162565,2.58139145429883e-09,0,Inf,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","incomeh_fctnotknow",1.37705222397529,0.670849779296586,2.05269833347666,0.040101843786851,3.96320176054234,1.06418667027314,14.7595986996666,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","marital_fctseparate",-16.3656755892547,33847.3037759555,-0.000483514896713296,0.999614210944026,7.80687811462849e-08,0,Inf,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","marital_fctwidow",1.53733106151389,0.802640079750036,1.91534300404318,0.0554487746781085,4.65215736520252,0.964819166583658,22.4317352931975,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","marital_fctnever_married",-16.9743882904273,84918.7837587101,-0.000199889677396448,0.999840511113604,4.24733808397356e-08,0,Inf,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","smk_fctex_occasional",0.304242583771816,1.06081453067119,0.28680092040153,0.774264758156203,1.35559786224903,0.169497739146302,10.8417113608104,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","smk_fctex_daily",-0.508943930823504,1.06090996550382,-0.479723960912943,0.631423687783247,0.601130078662568,0.0751484901564176,4.80857793311241,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","smk_fctcurrent",1.05614179363194,0.671115869038096,1.5737100586605,0.11555449533799,2.87525622964239,0.771652361637872,10.7135010492938,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","drk1_fctlt1_month",0.480298038535051,0.671087698768294,0.715700853132287,0.474176083916426,1.61655612642288,0.433870280889433,6.02312217494637,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","drk1_fctlt1_week",0.862216702914527,1.06082798971548,0.812777105500182,0.416345864143551,2.36840492921168,0.296126677784845,18.9423727395129,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","drk1_fct1to4_week",-19.4448298881094,22972.4382379248,-0.00084644170926568,0.999324637309203,3.59101879388203e-09,0,Inf,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","drk1_fctge5_week",-0.67539564779927,1.06075500397105,-0.636712195814167,0.524312328091203,0.508955013835952,0.0636448255910818,4.07001203480477,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","drk1_fctex_drinker",-18.6028756547703,22161.1376096199,-0.000839436854843366,0.999330226372411,8.33438878329942e-09,0,Inf,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","walk_any_fctyes",18.6297919376747,21894.759836571,0.000850879026613357,0.999321096843475,123258204.629655,0,Inf,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","bmi",-0.0760345075433548,0.104554143286382,-0.727226154348472,0.467087426750108,0.926784224960759,0.755060905976592,1.13756253679321,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","hyp_fctyes",-0.213768131004111,0.708226241761328,-0.301835936596304,0.762777134301075,0.807535605786556,0.201520118730644,3.23597345377058,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","diab_fctyes",0.507421417529663,1.06072485281309,0.478372328303573,0.632385225226989,1.66100263584051,0.207720658165077,13.2819228508153,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","hxchd_fctyes",-19.1779921666096,25744.4923974638,-0.000744935727243118,0.999405627339415,4.68925476136583e-09,0,Inf,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","hxstroke_fctyes",-20.1309052590394,64409.2084506776,-0.000312547005983702,0.99975062357346,1.80825190076059e-09,0,Inf,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","cancerhx_fctyes",2.56568946827944,1.06079802351116,2.41864088300919,0.0155786116420371,13.0096250019774,1.62671646966611,104.044156340788,5076,9,"C11","icd3",6542,12
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","ic5_per1lower",0.531873140478165,0.272727954571761,1.9501966394069,0.0511526862010285,1.7021176298412,0.99733971678189,2.90493236864627,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","agec_5",1.17081044460604,0.319841675689899,3.66059376746512,0.000251631444318001,3.22460494350436,1.72276796535054,6.03568051577798,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","sex_fctmale",19.1897297432817,2691.19427164074,0.00713056279344054,0.994310682249476,215771329.096842,0,Inf,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","phase_fct2",0,0,NA,NA,1,1,1,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","phase_fct3",0,0,NA,NA,1,1,1,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","edu_fctjunior_college",-0.139550607944807,0.734230926658088,-0.190063647386774,0.849259255979634,0.869749005880909,0.206260204107589,3.6675195610504,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","edu_fctsenior_middle",-21.2718722847513,5827.32388164121,-0.00365036725550259,0.997087434793985,5.77754380530251e-10,0,Inf,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","edu_fctjunior_middle",-1.22889757132173,0.712587521707257,-1.72455668094982,0.0846073958791439,0.292614987084974,0.0724004003651329,1.18263891131705,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","edu_fctprimary",-20.7369770908581,3866.7062689001,-0.00536295638943291,0.995721000408222,9.86382317183018e-10,0,Inf,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","edu_fctlt_primary",-21.7799359096995,16546.686093522,-0.00131627177711593,0.998949767374486,3.47611405929542e-10,0,Inf,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","incomeh_fct30000_band",0.489230759764569,0.729695645613625,0.670458653145942,0.50256545553746,1.63106105946391,0.390258310178423,6.81692128089019,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","incomeh_fct20000_band",-0.0179619455853888,0.823659767864834,-0.0218074820285946,0.98260152581158,0.982198408632603,0.195478393251921,4.93514243631598,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","incomeh_fct10000_band",-1.08749964077183,1.12031841102658,-0.970705854753674,0.331694775530009,0.337058207574435,0.037504911636804,3.02915619142015,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","incomeh_fct5000_band",-13.6826761791559,15078.6942846093,-0.000907417838766162,0.999275985415611,1.1420608331904e-06,0,Inf,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","incomeh_fctlt5000",-19.9010921152514,12863.6841965476,-0.00154707561311187,0.998765612746309,2.27544064030736e-09,0,Inf,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","incomeh_fctnotknow",-18.57688186067,5130.44325182262,-0.00362091167348366,0.997110936792783,8.55387140416538e-09,0,Inf,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","marital_fctseparate",-13.478576295541,19418.8266763228,-0.000694098388136668,0.999446189656896,1.40064698557337e-06,0,Inf,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","marital_fctwidow",2.35021550861901,0.82197817293817,2.85921887708787,0.00424685648972228,10.4878296988917,2.09419219851418,52.5236279033967,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","marital_fctnever_married",1.15468895616692,84357.7722790688,1.36879972641646e-05,0.999989078558315,3.17303631064223,0,Inf,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","smk_fctex_occasional",-20.3406727859932,10233.7299158863,-0.00198761086653435,0.998414117020906,1.46608128827215e-09,0,Inf,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","smk_fctex_daily",0.456308327699112,0.717489618050327,0.635978997074637,0.524790111529464,1.57823688390294,0.386762108004716,6.44021637631912,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","smk_fctcurrent",-0.0648518213888419,0.822376001943068,-0.078859087857152,0.93714470501539,0.937206327020745,0.186993921697495,4.69724198216803,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","drk1_fctlt1_month",-0.0635359879298089,0.83358256580556,-0.0762203896004097,0.939243761318863,0.938440346167647,0.183172344693731,4.80787798391595,5076,8,"C15","icd3",6542,11
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","drk1_fctlt1_week",-19.7505264632983,13841.5689221775,-0.0014268994052873,0.998861499381042,2.64518068172454e-09,0,Inf,5076,8,"C15","icd3",6542,11
