"outcome","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent","cause_code","cause_level","n_valid_eventcoding","n_events_target.x","neg_log10_p","significant","n_events_target.y"
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","ic5_per1lower",-0.154894630655804,0.206130114309757,-0.751441055444429,0.45238726242841,0.856505422143651,0.571836463854745,1.2828869520077,5076,9,"C11","icd3",6542,12,0.344489631719464,FALSE,12
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","ic5_per1lower",0.531873140478165,0.272727954571761,1.9501966394069,0.0511526862010285,1.7021176298412,0.99733971678189,2.90493236864627,5076,8,"C15","icd3",6542,11,1.2911315550769,FALSE,11
"cause_specific_icd3_C16","CS_ICD3_C16_M3_ic5","ic5_per1lower",-0.132589098012333,0.18384700967909,-0.721192573345472,0.470791040468697,0.875824896372333,0.610838536580858,1.25576433569376,5076,20,"C16","icd3",6542,25,0.327171810722465,FALSE,25
"cause_specific_icd3_C18","CS_ICD3_C18_M3_ic5","ic5_per1lower",-0.0978314155251823,0.123076918034265,-0.794880283709618,0.426683144193081,0.906801763567738,0.712441309972485,1.15418551240567,5076,41,"C18","icd3",6542,48,0.369894513289092,FALSE,48
"cause_specific_icd3_C20","CS_ICD3_C20_M3_ic5","ic5_per1lower",0.149338948471567,0.202247832236772,0.738395793022569,0.460273970319192,1.16106646422488,0.78109420246461,1.72588060453404,5076,10,"C20","icd3",6542,13,0.336983584885268,FALSE,13
"cause_specific_icd3_C22","CS_ICD3_C22_M3_ic5","ic5_per1lower",-0.147805645181441,0.152850528110867,-0.96699466471083,0.33354670081164,0.862598748874613,0.63929634060152,1.16389935981792,5076,28,"C22","icd3",6542,39,0.476843350698358,FALSE,39
"cause_specific_icd3_C25","CS_ICD3_C25_M3_ic5","ic5_per1lower",-0.362165015247881,0.253687117769962,-1.42760506891913,0.153405563806793,0.696167480113621,0.423423410798418,1.14459698733681,5076,11,"C25","icd3",6542,14,0.814158888843558,FALSE,14
"cause_specific_icd3_C34","CS_ICD3_C34_M3_ic5","ic5_per1lower",-0.00166216911066644,0.0807535581155229,-0.0205832306272946,0.983578117654018,0.998339211527352,0.852198127953669,1.1695416225172,5076,94,"C34","icd3",6542,121,0.00719114187702175,FALSE,121
"cause_specific_icd3_C50","CS_ICD3_C50_M3_ic5","ic5_per1lower",-0.254281454493871,0.17927461103914,-1.41839077502366,0.156076707400043,0.775473510823895,0.545717827937465,1.10195990529092,5076,14,"C50","icd3",6542,18,0.806661905409255,FALSE,18
"cause_specific_icd3_E11","CS_ICD3_E11_M3_ic5","ic5_per1lower",0.318045312914385,0.189366171661797,1.67952549351003,0.0930496746683276,1.37443853963242,0.94827990351644,1.99211360719735,5076,20,"E11","icd3",6542,24,1.03128514096413,FALSE,24
"cause_specific_icd3_I11","CS_ICD3_I11_M3_ic5","ic5_per1lower",-0.01974315837447,0.303259068411943,-0.0651032744968113,0.948091773294502,0.980450461460805,0.541116863041689,1.77647967201615,5076,9,"I11","icd3",6542,13,0.0231496218324963,FALSE,13
"cause_specific_icd3_I21","CS_ICD3_I21_M3_ic5","ic5_per1lower",0.338777107095782,0.0918535294699646,3.68823178652661,0.000225817896494583,1.40323054022262,1.17204196576649,1.68002171127527,5076,77,"I21","icd3",6542,104,3.64624164238958,TRUE,104
"cause_specific_icd3_I25","CS_ICD3_I25_M3_ic5","ic5_per1lower",0.266147384428082,0.0954545533067691,2.78821046464641,0.00530000994178793,1.30492737048889,1.08226914565508,1.57339368777842,5076,75,"I25","icd3",6542,92,2.27572331574646,TRUE,92
"cause_specific_icd3_I61","CS_ICD3_I61_M3_ic5","ic5_per1lower",0.262063871925544,0.168398347513116,1.55621403532557,0.119657204975187,1.29960954834279,0.934269046151269,1.80781433902957,5076,21,"I61","icd3",6542,35,0.92206114588667,FALSE,35
"cause_specific_icd3_I63","CS_ICD3_I63_M3_ic5","ic5_per1lower",0.402963177915936,0.126084228016688,3.19598402000449,0.0013935482962522,1.49625179553982,1.1686422817021,1.91570121217539,5076,43,"I63","icd3",6542,52,2.85587797533076,TRUE,52
"cause_specific_icd3_I64","CS_ICD3_I64_M3_ic5","ic5_per1lower",0.134048668299736,0.167662593411254,0.799514462781408,0.423992163859357,1.14344846798325,0.823193511663101,1.5882953162395,5076,11,"I64","icd3",6542,15,0.372642169879175,FALSE,15
"cause_specific_icd3_I69","CS_ICD3_I69_M3_ic5","ic5_per1lower",0.197444428967581,0.10992811865405,1.79612306100635,0.0724749475669891,1.21828536171316,0.982150499245878,1.51119326794028,5076,54,"I69","icd3",6542,63,1.13981209016925,FALSE,63
"cause_specific_icd3_J18","CS_ICD3_J18_M3_ic5","ic5_per1lower",0.244834720546062,0.106554755503425,2.29773621448733,0.0215768070759621,1.27741016610152,1.03664676270727,1.57409137920619,5076,57,"J18","icd3",6542,78,1.66601282155696,TRUE,78
"cause_specific_icd3_J44","CS_ICD3_J44_M3_ic5","ic5_per1lower",0.221582606024321,0.156558227493784,1.41533670616652,0.156969797651532,1.24805034043946,0.918268101581382,1.69626893233971,5076,31,"J44","icd3",6542,39,0.804183901572191,FALSE,39
"cause_specific_icd3_J98","CS_ICD3_J98_M3_ic5","ic5_per1lower",0.559184968925601,0.225495464892299,2.47980583198282,0.013145394429283,1.74924622911388,1.12436898836177,2.72140409575635,5076,7,"J98","icd3",6542,10,1.88122637829926,TRUE,10
"cause_specific_icd3_K74","CS_ICD3_K74_M3_ic5","ic5_per1lower",0.154234219313593,0.234892401753849,0.656616468485088,0.511427556987256,1.16676413347183,0.736278799460767,1.84894437291048,5076,11,"K74","icd3",6542,12,0.291215874813656,FALSE,12
