"outcome","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent","cause_code","cause_level","n_valid_eventcoding","n_events_target.x","neg_log10_p","significant","cause_name","n_events_target.y"
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5","ic5_per1lower",-0.154894630655804,0.206130114309757,-0.751441055444429,0.45238726242841,0.856505422143651,0.571836463854745,1.2828869520077,5076,9,"C11","icd3",6542,12,0.344489631719464,FALSE,"Nasopharyngeal cancer",12
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5","ic5_per1lower",0.531873140478165,0.272727954571761,1.9501966394069,0.0511526862010285,1.7021176298412,0.99733971678189,2.90493236864627,5076,8,"C15","icd3",6542,11,1.2911315550769,FALSE,"Esophageal cancer",11
"cause_specific_icd3_C16","CS_ICD3_C16_M3_ic5","ic5_per1lower",-0.132589098012333,0.18384700967909,-0.721192573345472,0.470791040468697,0.875824896372333,0.610838536580858,1.25576433569376,5076,20,"C16","icd3",6542,25,0.327171810722465,FALSE,"Gastric cancer",25
"cause_specific_icd3_C18","CS_ICD3_C18_M3_ic5","ic5_per1lower",-0.0978314155251823,0.123076918034265,-0.794880283709618,0.426683144193081,0.906801763567738,0.712441309972485,1.15418551240567,5076,41,"C18","icd3",6542,48,0.369894513289092,FALSE,"Colon cancer",48
"cause_specific_icd3_C20","CS_ICD3_C20_M3_ic5","ic5_per1lower",0.149338948471567,0.202247832236772,0.738395793022569,0.460273970319192,1.16106646422488,0.78109420246461,1.72588060453404,5076,10,"C20","icd3",6542,13,0.336983584885268,FALSE,"Rectal cancer",13
"cause_specific_icd3_C22","CS_ICD3_C22_M3_ic5","ic5_per1lower",-0.147805645181441,0.152850528110867,-0.96699466471083,0.33354670081164,0.862598748874613,0.63929634060152,1.16389935981792,5076,28,"C22","icd3",6542,39,0.476843350698358,FALSE,"Liver cancer",39
"cause_specific_icd3_C24","CS_ICD3_C24_M3_ic5","ic5_per1lower",-0.820913168264875,0.294205590654074,-2.79027045828677,0.00526640285890718,0.44002964987313,0.247202972202696,0.783267656703998,5076,6,"C24","icd3",6542,6,2.27848592215582,TRUE,"Biliary tract cancer",6
"cause_specific_icd3_C25","CS_ICD3_C25_M3_ic5","ic5_per1lower",-0.362165015247881,0.253687117769962,-1.42760506891913,0.153405563806793,0.696167480113621,0.423423410798418,1.14459698733681,5076,11,"C25","icd3",6542,14,0.814158888843558,FALSE,"Pancreatic cancer",14
"cause_specific_icd3_C32","CS_ICD3_C32_M3_ic5","ic5_per1lower",0.082099240803606,0.295175556234578,0.278136990240347,0.780907201456765,1.08556353668176,0.608697276042864,1.93601686512233,5076,5,"C32","icd3",6542,5,0.107400572127545,FALSE,"Laryngeal cancer",5
"cause_specific_icd3_C34","CS_ICD3_C34_M3_ic5","ic5_per1lower",-0.00166216911066644,0.0807535581155229,-0.0205832306272946,0.983578117654018,0.998339211527352,0.852198127953669,1.1695416225172,5076,94,"C34","icd3",6542,121,0.00719114187702175,FALSE,"Lung cancer",121
