"outcome","model_id","n","nevent","loglik_null","loglik_fit","aic","concordance","concordance_se","cause_code","cause_level","n_valid_eventcoding","n_events_target"
"cause_specific_icd3_C11","CS_ICD3_C11_M3_ic5",5076,9,-76.3441752496011,-52.6602810045945,173.320562009189,0.970387400850673,0.0142827774331896,"C11","icd3",6542,12
"cause_specific_icd3_C15","CS_ICD3_C15_M3_ic5",5076,8,-67.6302445880225,-28.7166164221184,125.433232844237,0.997260128215359,0.00110871170828262,"C15","icd3",6542,11
"cause_specific_icd3_C16","CS_ICD3_C16_M3_ic5",5076,20,-168.584173303585,-151.351766238658,366.703532477315,0.844186474234835,0.0349272984200949,"C16","icd3",6542,25
"cause_specific_icd3_C18","CS_ICD3_C18_M3_ic5",5076,41,-345.243978215732,-315.06224220006,694.124484400119,0.796368407911303,0.0289656166909526,"C18","icd3",6542,48
"cause_specific_icd3_C20","CS_ICD3_C20_M3_ic5",5076,10,-84.6669392635474,-62.2408406835406,192.481681367081,0.936246689368142,0.0281335365075276,"C20","icd3",6542,13
"cause_specific_icd3_C22","CS_ICD3_C22_M3_ic5",5076,28,-236.437246463904,-209.474438774551,482.948877549103,0.804203743479595,0.0411720969441589,"C22","icd3",6542,39
"cause_specific_icd3_C25","CS_ICD3_C25_M3_ic5",5076,11,-91.5942098186837,-74.979673994663,213.959347989326,0.918767566196826,0.0305273220202038,"C25","icd3",6542,14
"cause_specific_icd3_C34","CS_ICD3_C34_M3_ic5",5076,94,-793.958494618192,-731.911195390418,1527.82239078084,0.805942542664759,0.0216724981228437,"C34","icd3",6542,121
"cause_specific_icd3_C50","CS_ICD3_C50_M3_ic5",5076,14,-118.20172249776,-103.386655953749,274.773311907497,0.8579858016534,0.0281996740393356,"C50","icd3",6542,18
"cause_specific_icd3_E11","CS_ICD3_E11_M3_ic5",5076,20,-168.860543783132,-113.167673861971,290.335347723941,0.956257934031887,0.0176180858996172,"E11","icd3",6542,24
"cause_specific_icd3_I11","CS_ICD3_I11_M3_ic5",5076,9,-75.6719297889711,-52.245197096711,166.490394193422,0.970406141654284,0.0163725911578322,"I11","icd3",6542,13
"cause_specific_icd3_I21","CS_ICD3_I21_M3_ic5",5076,77,-645.089190896257,-556.242786204598,1176.4855724092,0.863937139321024,0.0195473158467294,"I21","icd3",6542,104
"cause_specific_icd3_I25","CS_ICD3_I25_M3_ic5",5076,75,-632.250234243096,-528.550585303967,1121.10117060793,0.90001366052718,0.0161206026050534,"I25","icd3",6542,92
"cause_specific_icd3_I61","CS_ICD3_I61_M3_ic5",5076,21,-177.656217010042,-147.010622930782,358.021245861564,0.887823904695673,0.0330561033395015,"I61","icd3",6542,35
"cause_specific_icd3_I63","CS_ICD3_I63_M3_ic5",5076,43,-360.530813987695,-292.818131459209,649.636262918418,0.912986433786923,0.0175901286429605,"I63","icd3",6542,52
"cause_specific_icd3_I64","CS_ICD3_I64_M3_ic5",5076,11,-93.0309153009727,-62.1898020927477,192.379604185495,0.965671526652781,0.015598033528465,"I64","icd3",6542,15
"cause_specific_icd3_I69","CS_ICD3_I69_M3_ic5",5076,54,-453.575490744891,-372.263509494756,808.527018989513,0.91679467911086,0.0127927132716131,"I69","icd3",6542,63
"cause_specific_icd3_J18","CS_ICD3_J18_M3_ic5",5076,57,-476.173848610242,-400.508355040892,865.016710081784,0.887442917821605,0.0213608075300803,"J18","icd3",6542,78
"cause_specific_icd3_J44","CS_ICD3_J44_M3_ic5",5076,31,-261.46433024603,-189.733297925908,443.466595851815,0.939338351129004,0.0239444073437811,"J44","icd3",6542,39
"cause_specific_icd3_J98","CS_ICD3_J98_M3_ic5",5076,7,-59.354671052237,-36.6465655351097,141.293131070219,0.978313753411653,0.0101938679421473,"J98","icd3",6542,10
"cause_specific_icd3_K74","CS_ICD3_K74_M3_ic5",5076,11,-93.2692443100097,-77.3362245598046,218.672449119609,0.899229781771502,0.0370012494999284,"K74","icd3",6542,12
