"variable","n","n_missing","pct_missing","n_non_missing"
"ic5",30518,23886,78.2685628153876,6632
"ic3_classic",30518,23886,78.2685628153876,6632
"event_allcause",30518,498,1.63182384166721,30020
"time_allcause",30518,421,1.3795137296022,30097
"und_icd_clean",30518,22503,73.7368110623239,8015
"agec",30518,0,0,30518
"sex",30518,0,0,30518
"phase",30518,0,0,30518
"edu",30518,22,0.072088603447146,30496
"incomeh",30518,49,0.160560980405007,30469
"marital_clean",30518,10132,33.2000786421128,20386
"smk",30518,105,0.344059243725015,30413
"syn",30518,105,0.344059243725015,30413
"sm_stat",30518,20113,65.9053673242021,10405
"sm_stat2",30518,20113,65.9053673242021,10405
"drk1",30518,2780,9.10937807195753,27738
"v7_5a",30518,167,0.547218035257881,30351
"walk_any",30518,167,0.547218035257881,30351
"bmi",30518,103,0.337505734320729,30415
"hyp",30518,44,0.144177206894292,30474
"hxht",30518,306,1.00268693885576,30212
"diab",30518,89,0.291631168490727,30429
"hxdm",30518,306,1.00268693885576,30212
"hxchd",30518,313,1.02562422177076,30205
"hxstroke",30518,315,1.03217773117504,30203
"v12_1a",30518,299,0.979749655940756,30219
"cxcopd",30518,20546,67.32420211023,9972
