"variable","n","n_missing","pct_missing","n_non_missing"
"event_allcause",30518,498,1.63182384166721,30020
"futime",30518,421,1.3795137296022,30097
"IPAQ_cat_bl",30518,0,0,30518
"IPAQ_cat_f1",30518,12418,40.6907398912117,18100
"IPAQ_cat_f2",30518,19952,65.3778098171571,10566
"IPAQ_cat_f3",30518,25139,82.3743364571728,5379
"MET_bl",30518,91,0.298184677895013,30427
"MET_f1",30518,12418,40.6907398912117,18100
"MET_f2",30518,19970,65.4367914017957,10548
"MET_f3",30518,25149,82.4071040041942,5369
"agec",30518,0,0,30518
"sex",30518,0,0,30518
"phase",30518,0,0,30518
"edu",30518,22,0.072088603447146,30496
"incomeh",30518,49,0.160560980405007,30469
"marital",30518,10131,33.1968018874107,20387
"smk",30518,105,0.344059243725015,30413
"drk1",30518,2780,9.10937807195753,27738
"hyp",30518,44,0.144177206894292,30474
"diab",30518,89,0.291631168490727,30429
"hxchd",30518,313,1.02562422177076,30205
"hxstroke",30518,315,1.03217773117504,30203
"v12_1a",30518,299,0.979749655940756,30219
