variable_name,variable_label,coded_values_from_label,questionnaire_file,questionnaire_snippet
FTREATE,手术开放性 a    化疗        c  FTreate 其它治疗：,,,
B1A1,小于等于15岁    b1a1 X光 代码,,,
B1B1,b1b1 CT次数 代码,,,
B1C1,b1c1 MRI次数 代码,,,
B1A2,16-20岁         b1a2 X光 代码,,,
B1B2,b1b2 CT次数 代码,,,
B1C2,b1c2 MRI次数 代码,,,
B1A3,21岁－距今两年前b1a3 X光 代码,,,
B1B3,b1b3 CT次数 代码,,,
B1C3,b1c3 MRI次数 代码,,,
B2A4,B2A4    4.增生（具体不祥）,,,
B2A8,B2A8    8.其它1,,,
B2A9,B2A9    9.其它2,,,
B2CE1,月数    b2ce1使用频率 代码,,,
B2CE2,月数    b2ce2使用频率 代码,,,
B2CE3,月数    b2ce3使用频率 代码,,,
B2CE4,月数    b2ce4使用频率 代码,,,
B2CE5,月数    b2ce5使用频率 代码,,,
B2CE6,月数    b2ce6使用频率 代码,,,
B2CE7,月数    b2ce7使用频率 代码,,,
B2CE8,月数    b2ce8使用频率 代码,,,
B2CE9,月数    b2ce9使用频率 代码,,,
B2CE10,月数   b2ce10使用频率 代码,,,
B2CA11,11. 其它 b2ca11,,,
B2CE11,月数    b2ce11使用频率 代码,,,
B3B1,B3B1,,,
B3C1,岁    b3c1（恶性“1”；良性“2”；不祥“3”）代码,,,
B3B2,B3B2,,,
B3C2,岁    b3c2（恶性“1”；良性“2”；不祥“3”）代码,,,
B3B3,B3B3,,,
B3C3,岁    b3c3（恶性“1”；良性“2”；不祥“3”）代码,,,
B4B9,（是＝1，否＝2，不祥＝3）    b4b9,,,
B4B12,（是＝1，否＝2，不祥＝3）    b4b12,,,
B4B13,（是＝1，否＝2，不祥＝3）   b4b13,,,
B4B14,（是＝1，否＝2，不祥＝3）   b4b14,,,
B4B15,（是＝1，否＝2，不祥＝3）    b4b15,,,
B4B16,（是＝1，否＝2，不祥＝3）   b4b16,,,
B4B17,（是＝1，否＝2，不祥＝3）    b4b17,,,
B4A18,b4a18    18.其它（请注明）：,,,
B4B18,B4B18,,,
B4A19,b4a19    19.其它（请注明）：,,,
B4B19,B4B19,,,
B4A20,b4a20    20.其它（请注明）：,,,
B4B20,B4B20,,,
B6CE,流感疫苗    a    破伤风疫苗    c    其它（请注明）b6ce,,,
B10C1,是    1    →    妇科疾病名称：b10c1,,,
B10D4,自然停止 =     1    医疗停止   = 3           b10d4其它(请注明),,,
C4C2,C4C2,,,
C4C3,C4C3,,,
C4C4,C4C4,,,
C4C5,C4C5,,,
C4C6,C4C6,,,
C4A7,c4a7    7.其它1（请注明手术名称）：,,,
C4C7,C4C7,,,
C4A8,c4a8    8.其它2（请注明手术名称）：,,,
C4C8,C4C8,,,
C4A9,c4a9    9.其它3（请注明手术名称）：,,,
C4C9,C4C9,,,
C5B4,子宫或卵巢切除       2    其它(请注明)c5b4,,,
C10B1,c10b1 妊娠结局代码,,,
C10G1,(左=1， 右=2 ，双侧＝3 ，不祥＝8)    c10g1    不哺乳或哺乳少于6个月的原因,,,
C10B2,c10b2 妊娠结局代码,,,
C10G2,(左=1， 右=2 ，双侧＝3 ，不祥＝8)    c10g2    不哺乳或哺乳少于6个月的原因,,,
C10B3,c10b3 妊娠结局代码,,,
C10G3,(左=1， 右=2 ，双侧＝3 ，不祥＝8)    c10g3    不哺乳或哺乳少于6个月的原因,,,
C10B4,c10b4 妊娠结局代码,,,
C10G4,(左=1， 右=2 ，双侧＝3 ，不祥＝8)    c10g4    不哺乳或哺乳少于6个月的原因,,,
C10B5,c10b5 妊娠结局代码,,,
C10G5,(左=1， 右=2 ，双侧＝3 ，不祥＝8)    c10g5    不哺乳或哺乳少于6个月的原因,,,
C10B6,c10b6 妊娠结局代码,,,
C10G6,(左=1， 右=2 ，双侧＝3 ，不祥＝8)    c10g6    不哺乳或哺乳少于6个月的原因,,,
C10B7,c10b7 妊娠结局代码,,,
C10G7,(左=1， 右=2 ，双侧＝3 ，不祥＝8)    c10g7    不哺乳或哺乳少于6个月的原因,,,
C10B8,c10b8 妊娠结局代码,,,
C10G8,(左=1， 右=2 ，双侧＝3 ，不祥＝8)    c10g8    不哺乳或哺乳少于6个月的原因,,,
C10B9,c10b9 妊娠结局代码,,,
C10G9,(左=1， 右=2 ，双侧＝3 ，不祥＝8)    c10g9    不哺乳或哺乳少于6个月的原因,,,
C10B10,c10b10 妊娠结局代码,,,
C10G10,(左=1， 右=2 ，双侧＝3 ，不祥＝8)    c10g10    不哺乳或哺乳少于6个月的原因,,,
D1A8,d1a8    8 其它（请注明）,,,
F15A,F15a    螺及其它贝壳类  频率,,,
F32J,潮汕口味     c        东北菜     g             F32j其它(请注明),,,
F33G,菜油          a    玉米油        d    F33g其它(请注明),,,
F35A,是        1    →   F35a 频率,,,
F38A,是        1    →    F38a频率,,,
F39A,是        1    →    F39a频率,,,
F39B,次/月    →最常喝的凉茶名称    F39b,,,
G8A,有    1    →    G8a频率：,,,
